RECIPE_EVAL da_criticalkv_hotpot_qa_nc8_r0.9 {'method': 0.347213955026455, 'kvpress': 'criticalkv', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_criticalkv_ruler_niah_nc88_r0.9 {'method': 0.0, 'kvpress': 'criticalkv', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_criticalkv_ruler_niah_nc88_r0.95 {'method': 0.0, 'kvpress': 'criticalkv', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_criticalkv_ruler_niah_nc88_r0.99 {'method': 0.0, 'kvpress': 'criticalkv', 'compression_ratio': 0.99, 'mode': 'kvpress'}
RECIPE_EVAL da_criticalkv_squad_v2_nc8_r0.9 {'method': 0.008333333333333333, 'kvpress': 'criticalkv', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_criticalkv_squad_v2_nc8_r0.95 {'method': 0.02178030303030303, 'kvpress': 'criticalkv', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_criticalkv_squad_v2_nc8_r0.99 {'method': 0.16509897873061588, 'kvpress': 'criticalkv', 'compression_ratio': 0.99, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_hotpot_qa_nc8_r0.9 {'method': 0.038392857142857145, 'kvpress': 'knorm', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_hotpot_qa_nc8_r0.95 {'method': 0.06011904761904762, 'kvpress': 'knorm', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_hotpot_qa_nc8_r0.99 {'method': 0.0, 'kvpress': 'knorm', 'compression_ratio': 0.99, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_narrativeqa_nc8_r0.9 {'method': 0.06145598962515775, 'kvpress': 'knorm', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_narrativeqa_nc8_r0.95 {'method': 0.06458050152966192, 'kvpress': 'knorm', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_narrativeqa_nc8_r0.99 {'method': 0.04345557275186936, 'kvpress': 'knorm', 'compression_ratio': 0.99, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_numerical_niah_nc44_r0.9 {'method': 0.041666666666666664, 'kvpress': 'knorm', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_numerical_niah_nc44_r0.95 {'method': 0.0, 'kvpress': 'knorm', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_numerical_niah_nc44_r0.99 {'method': 0.0, 'kvpress': 'knorm', 'compression_ratio': 0.99, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_ruler_niah_nc44_r0.9 {'method': 0.0, 'kvpress': 'knorm', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_ruler_niah_nc44_r0.95 {'method': 0.0, 'kvpress': 'knorm', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_ruler_niah_nc44_r0.99 {'method': 0.0, 'kvpress': 'knorm', 'compression_ratio': 0.99, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_ruler_niah_nc88_r0.9 {'method': 0.0, 'kvpress': 'knorm', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_ruler_niah_nc88_r0.95 {'method': 0.0, 'kvpress': 'knorm', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_ruler_niah_nc88_r0.99 {'method': 0.0, 'kvpress': 'knorm', 'compression_ratio': 0.99, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_squad_v2_nc8_r0.9 {'method': 0.006810897435897436, 'kvpress': 'knorm', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_squad_v2_nc8_r0.95 {'method': 0.021901709401709404, 'kvpress': 'knorm', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_knorm_squad_v2_nc8_r0.99 {'method': 0.1294095428821888, 'kvpress': 'knorm', 'compression_ratio': 0.99, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_hotpot_qa_nc8_r0.9 {'method': 0.42569638966697787, 'kvpress': 'kvzip', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_hotpot_qa_nc8_r0.95 {'method': 0.250036075036075, 'kvpress': 'kvzip', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_hotpot_qa_nc8_r0.99 {'method': 0.2909090909090909, 'kvpress': 'kvzip', 'compression_ratio': 0.99, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_narrativeqa_nc8_r0.9 {'method': 0.1442142538085136, 'kvpress': 'kvzip', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_narrativeqa_nc8_r0.95 {'method': 0.16609626545396458, 'kvpress': 'kvzip', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_narrativeqa_nc8_r0.99 {'method': 0.1343086898156137, 'kvpress': 'kvzip', 'compression_ratio': 0.99, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_numerical_niah_nc44_r0.9 {'method': 0.75, 'kvpress': 'kvzip', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_numerical_niah_nc44_r0.95 {'method': 0.75, 'kvpress': 'kvzip', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_numerical_niah_nc44_r0.99 {'method': 0.0625, 'kvpress': 'kvzip', 'compression_ratio': 0.99, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_ruler_niah_nc44_r0.9 {'method': 0.8333333333333334, 'kvpress': 'kvzip', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_ruler_niah_nc44_r0.95 {'method': 0.08333333333333333, 'kvpress': 'kvzip', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_ruler_niah_nc44_r0.99 {'method': 0.0, 'kvpress': 'kvzip', 'compression_ratio': 0.99, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_ruler_niah_nc88_r0.9 {'method': 0.7708333333333334, 'kvpress': 'kvzip', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_ruler_niah_nc88_r0.95 {'method': 0.041666666666666664, 'kvpress': 'kvzip', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_ruler_niah_nc88_r0.99 {'method': 0.0, 'kvpress': 'kvzip', 'compression_ratio': 0.99, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_squad_v2_nc8_r0.9 {'method': 0.389280551320025, 'kvpress': 'kvzip', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_squad_v2_nc8_r0.95 {'method': 0.21748911975392096, 'kvpress': 'kvzip', 'compression_ratio': 0.95, 'mode': 'kvpress'}
RECIPE_EVAL da_kvzip_squad_v2_nc8_r0.99 {'method': 0.17344590140384145, 'kvpress': 'kvzip', 'compression_ratio': 0.99, 'mode': 'kvpress'}
RECIPE_EVAL db_expected_nc44 {'method': 0.3958333333333333, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL db_expected_nc55 {'method': 0.25, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL db_expected_nc66 {'method': 0.2708333333333333, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL db_expected_nc77 {'method': 0.25, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL db_expected_nc88 {'method': 0.0625, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL db_snapkv_nc44 {'method': 0.5208333333333334, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL db_snapkv_nc55 {'method': 0.5, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL db_snapkv_nc66 {'method': 0.5625, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL db_snapkv_nc77 {'method': 0.625, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL db_snapkv_nc88 {'method': 0.16666666666666666, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL dc_full_ndis0 {'no_ctx': 0.203125, 'full': 0.8125, 'method': 0.8125, 'mode': 'txl'}
RECIPE_EVAL dc_full_ndis2 {'no_ctx': 0.21875, 'full': 0.859375, 'method': 0.859375, 'mode': 'txl'}
RECIPE_EVAL dc_full_ndis4 {'no_ctx': 0.140625, 'full': 0.78125, 'method': 0.78125, 'mode': 'txl'}
RECIPE_EVAL dc_full_ndis6 {'no_ctx': 0.15625, 'full': 0.875, 'method': 0.875, 'mode': 'txl'}
RECIPE_EVAL dc_full_ndis8 {'no_ctx': 0.15625, 'full': 0.796875, 'method': 0.796875, 'mode': 'txl'}
RECIPE_EVAL dc_ll50_ndis0 {'no_ctx': 0.1875, 'full': 0.921875, 'method': 0.8125, 'mode': 'llmlingua'}
RECIPE_EVAL dc_ll50_ndis2 {'no_ctx': 0.15625, 'full': 0.890625, 'method': 0.625, 'mode': 'llmlingua'}
RECIPE_EVAL dc_ll50_ndis4 {'no_ctx': 0.1875, 'full': 0.765625, 'method': 0.46875, 'mode': 'llmlingua'}
RECIPE_EVAL dc_ll50_ndis6 {'no_ctx': 0.09375, 'full': 0.875, 'method': 0.484375, 'mode': 'llmlingua'}
RECIPE_EVAL dc_ll50_ndis8 {'no_ctx': 0.140625, 'full': 0.875, 'method': 0.53125, 'mode': 'llmlingua'}
RECIPE_EVAL dc_rag_ndis0 {'no_ctx': 0.15625, 'full': 0.734375, 'method': 0.765625, 'mode': 'rag'}
RECIPE_EVAL dc_rag_ndis2 {'no_ctx': 0.25, 'full': 0.828125, 'method': 0.828125, 'mode': 'rag'}
RECIPE_EVAL dc_rag_ndis4 {'no_ctx': 0.15625, 'full': 0.859375, 'method': 0.796875, 'mode': 'rag'}
RECIPE_EVAL dc_rag_ndis6 {'no_ctx': 0.140625, 'full': 0.859375, 'method': 0.828125, 'mode': 'rag'}
RECIPE_EVAL dc_rag_ndis8 {'no_ctx': 0.1875, 'full': 0.828125, 'method': 0.859375, 'mode': 'rag'}
RECIPE_EVAL dc_win1k_ndis0 {'no_ctx': 0.25, 'full': 0.78125, 'method': 0.78125, 'mode': 'txl'}
RECIPE_EVAL dc_win1k_ndis2 {'no_ctx': 0.203125, 'full': 0.796875, 'method': 0.171875, 'mode': 'txl'}
RECIPE_EVAL dc_win1k_ndis4 {'no_ctx': 0.140625, 'full': 0.765625, 'method': 0.1875, 'mode': 'txl'}
RECIPE_EVAL dc_win1k_ndis6 {'no_ctx': 0.140625, 'full': 0.75, 'method': 0.25, 'mode': 'txl'}
RECIPE_EVAL dc_win1k_ndis8 {'no_ctx': 0.203125, 'full': 0.796875, 'method': 0.28125, 'mode': 'txl'}
RECIPE_EVAL dd_musr_mm_bud1024_ch256 {'no_ctx': 0.453125, 'full': 0.578125, 'method': 0.515625, 'mode': 'rag'}
RECIPE_EVAL dd_musr_mm_bud1024_ch64 {'no_ctx': 0.453125, 'full': 0.578125, 'method': 0.53125, 'mode': 'rag'}
RECIPE_EVAL dd_musr_mm_bud4096_ch256 {'no_ctx': 0.453125, 'full': 0.578125, 'method': 0.5625, 'mode': 'rag'}
RECIPE_EVAL dd_musr_mm_bud4096_ch64 {'no_ctx': 0.453125, 'full': 0.578125, 'method': 0.5625, 'mode': 'rag'}
RECIPE_EVAL dd_narrativeqa_bud1024_ch256 {'no_ctx': 0.10714134525867368, 'full': 0.1581917427393187, 'method': 0.149925604041884, 'mode': 'rag'}
RECIPE_EVAL dd_narrativeqa_bud1024_ch64 {'no_ctx': 0.10714134525867368, 'full': 0.1581917427393187, 'method': 0.13773241342476336, 'mode': 'rag'}
RECIPE_EVAL dd_narrativeqa_bud4096_ch256 {'no_ctx': 0.10714134525867368, 'full': 0.1581917427393187, 'method': 0.165472520122421, 'mode': 'rag'}
RECIPE_EVAL dd_narrativeqa_bud4096_ch64 {'no_ctx': 0.10714134525867368, 'full': 0.1581917427393187, 'method': 0.17832811556121386, 'mode': 'rag'}
RECIPE_EVAL dd_quality_bud1024_ch256 {'no_ctx': 0.203125, 'full': 0.0625, 'method': 0.125, 'mode': 'rag'}
RECIPE_EVAL dd_quality_bud1024_ch64 {'no_ctx': 0.203125, 'full': 0.0625, 'method': 0.109375, 'mode': 'rag'}
RECIPE_EVAL dd_quality_bud4096_ch256 {'no_ctx': 0.203125, 'full': 0.0625, 'method': 0.078125, 'mode': 'rag'}
RECIPE_EVAL dd_quality_bud4096_ch64 {'no_ctx': 0.203125, 'full': 0.0625, 'method': 0.078125, 'mode': 'rag'}
RECIPE_EVAL dd_quality_hard_bud1024_ch256 {'no_ctx': 0.25, 'full': 0.109375, 'method': 0.1875, 'mode': 'rag'}
RECIPE_EVAL dd_quality_hard_bud1024_ch64 {'no_ctx': 0.25, 'full': 0.109375, 'method': 0.1875, 'mode': 'rag'}
RECIPE_EVAL dd_quality_hard_bud4096_ch256 {'no_ctx': 0.25, 'full': 0.109375, 'method': 0.125, 'mode': 'rag'}
RECIPE_EVAL dd_quality_hard_bud4096_ch64 {'no_ctx': 0.25, 'full': 0.109375, 'method': 0.140625, 'mode': 'rag'}
