RECIPE_EVAL c_block_narrativeqa_r0.5 {'method': 0.15707900445548795, 'kvpress': 'block', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_expected_ruler8k_r0.1 {'method': 0.9791666666666666, 'kvpress': 'expected', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_expected_ruler8k_r0.25 {'method': 0.9791666666666666, 'kvpress': 'expected', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_expected_ruler8k_r0.5 {'method': 0.3958333333333333, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_expected_ruler8k_r0.75 {'method': 0.0, 'kvpress': 'expected', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_expected_ruler8k_r0.9 {'method': 0.0, 'kvpress': 'expected', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_fastkvzip_narrativeqa_r0.5 {'method': 0.12644150927664605, 'kvpress': 'fastkvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_fastkvzip_numerical_niah_r0.5 {'method': 0.75, 'kvpress': 'fastkvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_fastkvzip_quality_hard_r0.5 {'method': 0.125, 'kvpress': 'fastkvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_fastkvzip_ruler8k_r0.1 {'method': 0.9791666666666666, 'kvpress': 'fastkvzip', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_fastkvzip_ruler8k_r0.25 {'method': 0.9791666666666666, 'kvpress': 'fastkvzip', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_fastkvzip_ruler8k_r0.5 {'method': 0.9791666666666666, 'kvpress': 'fastkvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_fastkvzip_ruler8k_r0.75 {'method': 0.9791666666666666, 'kvpress': 'fastkvzip', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_fastkvzip_ruler8k_r0.9 {'method': 0.6458333333333334, 'kvpress': 'fastkvzip', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_full_categorical_niah {'no_ctx': 0.0, 'full': 0.0, 'method': 0.0, 'mode': 'txl'}
RECIPE_EVAL c_full_coding_niah {'no_ctx': 0.0, 'full': 0.0, 'method': 0.0, 'mode': 'txl'}
RECIPE_EVAL c_full_locomo {'no_ctx': 0.07693463761982475, 'full': 0.17144679820638487, 'method': 0.17144679820638487, 'mode': 'txl'}
RECIPE_EVAL c_full_musr_mm {'no_ctx': 0.453125, 'full': 0.578125, 'method': 0.578125, 'mode': 'txl'}
RECIPE_EVAL c_full_narrativeqa {'no_ctx': 0.11138328709736474, 'full': 0.155798327067347, 'method': 0.155798327067347, 'mode': 'txl'}
RECIPE_EVAL c_full_numerical_niah {'no_ctx': 0.0, 'full': 0.0, 'method': 0.0, 'mode': 'txl'}
RECIPE_EVAL c_full_quality {'no_ctx': 0.203125, 'full': 0.0625, 'method': 0.0625, 'mode': 'txl'}
RECIPE_EVAL c_h2o_narrativeqa_r0.5 {'method': 0.13190080854063538, 'kvpress': 'h2o', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_h2o_numerical_niah_r0.5 {'method': 0.125, 'kvpress': 'h2o', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_h2o_quality_hard_r0.5 {'method': 0.16666666666666666, 'kvpress': 'h2o', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_h2o_ruler8k_r0.1 {'method': 0.8958333333333334, 'kvpress': 'h2o', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_h2o_ruler8k_r0.25 {'method': 0.5, 'kvpress': 'h2o', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_h2o_ruler8k_r0.5 {'method': 0.14583333333333334, 'kvpress': 'h2o', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_h2o_ruler8k_r0.75 {'method': 0.0625, 'kvpress': 'h2o', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_h2o_ruler8k_r0.9 {'method': 0.0, 'kvpress': 'h2o', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_keydiff_narrativeqa_r0.5 {'method': 0.06897448377049895, 'kvpress': 'keydiff', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_keydiff_numerical_niah_r0.5 {'method': 0.20833333333333334, 'kvpress': 'keydiff', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_keydiff_quality_hard_r0.5 {'method': 0.1875, 'kvpress': 'keydiff', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_keydiff_ruler8k_r0.1 {'method': 0.9791666666666666, 'kvpress': 'keydiff', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_keydiff_ruler8k_r0.25 {'method': 0.9583333333333334, 'kvpress': 'keydiff', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_keydiff_ruler8k_r0.5 {'method': 0.8958333333333334, 'kvpress': 'keydiff', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_keydiff_ruler8k_r0.75 {'method': 0.20833333333333334, 'kvpress': 'keydiff', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_keydiff_ruler8k_r0.9 {'method': 0.041666666666666664, 'kvpress': 'keydiff', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_knorm_narrativeqa_r0.5 {'method': 0.15707900445548795, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_knorm_numerical_niah_r0.5 {'method': 0.75, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_knorm_quality_hard_r0.5 {'method': 0.1875, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_knorm_ruler8k_r0.1 {'method': 0.9791666666666666, 'kvpress': 'knorm', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_knorm_ruler8k_r0.25 {'method': 0.9791666666666666, 'kvpress': 'knorm', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_knorm_ruler8k_r0.5 {'method': 0.8125, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_knorm_ruler8k_r0.75 {'method': 0.1875, 'kvpress': 'knorm', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_knorm_ruler8k_r0.9 {'method': 0.0, 'kvpress': 'knorm', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_kvzip_narrativeqa_r0.5 {'method': 0.13381736658770815, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_kvzip_numerical_niah_r0.5 {'method': 0.75, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_kvzip_quality_hard_r0.5 {'method': 0.125, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_kvzip_ruler8k_r0.1 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_kvzip_ruler8k_r0.25 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_kvzip_ruler8k_r0.5 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_kvzip_ruler8k_r0.75 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_kvzip_ruler8k_r0.9 {'method': 0.8333333333333334, 'kvpress': 'kvzip', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_lagkv_narrativeqa_r0.5 {'method': 0.15048797294580363, 'kvpress': 'lagkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_lagkv_numerical_niah_r0.5 {'method': 0.75, 'kvpress': 'lagkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_lagkv_quality_hard_r0.5 {'method': 0.125, 'kvpress': 'lagkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_lagkv_ruler8k_r0.1 {'method': 0.9791666666666666, 'kvpress': 'lagkv', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_lagkv_ruler8k_r0.25 {'method': 0.9791666666666666, 'kvpress': 'lagkv', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_lagkv_ruler8k_r0.5 {'method': 0.9791666666666666, 'kvpress': 'lagkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_lagkv_ruler8k_r0.75 {'method': 0.875, 'kvpress': 'lagkv', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_lagkv_ruler8k_r0.9 {'method': 0.10416666666666667, 'kvpress': 'lagkv', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_leverage_narrativeqa_r0.5 {'method': 0.15475276361209023, 'kvpress': 'leverage', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_leverage_numerical_niah_r0.5 {'method': 0.75, 'kvpress': 'leverage', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_leverage_quality_hard_r0.5 {'method': 0.125, 'kvpress': 'leverage', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_leverage_ruler8k_r0.1 {'method': 0.9791666666666666, 'kvpress': 'leverage', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_leverage_ruler8k_r0.25 {'method': 0.9791666666666666, 'kvpress': 'leverage', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_leverage_ruler8k_r0.5 {'method': 0.9791666666666666, 'kvpress': 'leverage', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_leverage_ruler8k_r0.75 {'method': 0.8958333333333334, 'kvpress': 'leverage', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_leverage_ruler8k_r0.9 {'method': 0.1875, 'kvpress': 'leverage', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_ll_categorical_niah_r0.5 {'no_ctx': 0.0, 'full': 0.0, 'method': 0.0, 'mode': 'llmlingua'}
RECIPE_EVAL c_ll_coding_niah_r0.5 {'no_ctx': 0.0, 'full': 0.0, 'method': 0.0, 'mode': 'llmlingua'}
RECIPE_EVAL c_ll_locomo_r0.5 {'no_ctx': 0.07693463761982475, 'full': 0.17144679820638487, 'method': 0.14987189821261743, 'mode': 'llmlingua'}
RECIPE_EVAL c_ll_musr_mm_r0.5 {'no_ctx': 0.453125, 'full': 0.578125, 'method': 0.5625, 'mode': 'llmlingua'}
RECIPE_EVAL c_ll_narrativeqa_r0.5 {'no_ctx': 0.11138328709736474, 'full': 0.155798327067347, 'method': 0.16864861883020263, 'mode': 'llmlingua'}
RECIPE_EVAL c_ll_numerical_niah_r0.5 {'no_ctx': 0.0, 'full': 0.0, 'method': 0.0, 'mode': 'llmlingua'}
RECIPE_EVAL c_ll_quality_r0.5 {'no_ctx': 0.203125, 'full': 0.0625, 'method': 0.140625, 'mode': 'llmlingua'}
RECIPE_EVAL c_noncausal_narrativeqa_r0.5 {'method': 0.1535633297316818, 'kvpress': 'noncausal', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_noncausal_numerical_niah_r0.5 {'method': 0.75, 'kvpress': 'noncausal', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_noncausal_quality_hard_r0.5 {'method': 0.16666666666666666, 'kvpress': 'noncausal', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_noncausal_ruler8k_r0.1 {'method': 0.9583333333333334, 'kvpress': 'noncausal', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_noncausal_ruler8k_r0.25 {'method': 0.875, 'kvpress': 'noncausal', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_noncausal_ruler8k_r0.5 {'method': 0.5, 'kvpress': 'noncausal', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_noncausal_ruler8k_r0.75 {'method': 0.0625, 'kvpress': 'noncausal', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_noncausal_ruler8k_r0.9 {'method': 0.0, 'kvpress': 'noncausal', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_random_narrativeqa_r0.5 {'method': 0.128217122971037, 'kvpress': 'random', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_random_numerical_niah_r0.5 {'method': 0.3541666666666667, 'kvpress': 'random', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_random_quality_hard_r0.5 {'method': 0.1875, 'kvpress': 'random', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_random_ruler8k_r0.1 {'method': 0.9791666666666666, 'kvpress': 'random', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_random_ruler8k_r0.25 {'method': 0.9375, 'kvpress': 'random', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_random_ruler8k_r0.5 {'method': 0.4583333333333333, 'kvpress': 'random', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_random_ruler8k_r0.75 {'method': 0.0, 'kvpress': 'random', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_random_ruler8k_r0.9 {'method': 0.0, 'kvpress': 'random', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_rerotate_narrativeqa_r0.5 {'method': 0.12830598773133262, 'kvpress': 'rerotate', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_rerotate_numerical_niah_r0.5 {'method': 0.6041666666666666, 'kvpress': 'rerotate', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_rerotate_quality_hard_r0.5 {'method': 0.125, 'kvpress': 'rerotate', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_rerotate_ruler8k_r0.1 {'method': 0.9375, 'kvpress': 'rerotate', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_rerotate_ruler8k_r0.25 {'method': 0.8333333333333334, 'kvpress': 'rerotate', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_rerotate_ruler8k_r0.5 {'method': 0.5416666666666666, 'kvpress': 'rerotate', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_rerotate_ruler8k_r0.75 {'method': 0.22916666666666666, 'kvpress': 'rerotate', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_rerotate_ruler8k_r0.9 {'method': 0.020833333333333332, 'kvpress': 'rerotate', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_simlayer_narrativeqa_r0.5 {'method': 0.12790533210885693, 'kvpress': 'simlayer', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_simlayer_numerical_niah_r0.5 {'method': 0.75, 'kvpress': 'simlayer', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_simlayer_quality_hard_r0.5 {'method': 0.125, 'kvpress': 'simlayer', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_simlayer_ruler8k_rNA {'method': 0.9791666666666666, 'kvpress': 'simlayer', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_snapkv_narrativeqa_r0.5 {'method': 0.12439681632015975, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_snapkv_numerical_niah_r0.5 {'method': 0.625, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_snapkv_quality_hard_r0.5 {'method': 0.125, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_snapkv_ruler8k_r0.1 {'method': 0.9375, 'kvpress': 'snapkv', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_snapkv_ruler8k_r0.25 {'method': 0.8125, 'kvpress': 'snapkv', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_snapkv_ruler8k_r0.5 {'method': 0.5208333333333334, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_snapkv_ruler8k_r0.75 {'method': 0.1875, 'kvpress': 'snapkv', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_snapkv_ruler8k_r0.9 {'method': 0.020833333333333332, 'kvpress': 'snapkv', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_streaming_narrativeqa_r0.5 {'method': 0.16728553079222316, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_streaming_numerical_niah_r0.5 {'method': 0.2916666666666667, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_streaming_quality_hard_r0.5 {'method': 0.125, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_streaming_ruler8k_r0.1 {'method': 0.9166666666666666, 'kvpress': 'streaming', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_streaming_ruler8k_r0.25 {'method': 0.8125, 'kvpress': 'streaming', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_streaming_ruler8k_r0.5 {'method': 0.5833333333333334, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_streaming_ruler8k_r0.75 {'method': 0.2916666666666667, 'kvpress': 'streaming', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_streaming_ruler8k_r0.9 {'method': 0.10416666666666667, 'kvpress': 'streaming', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_think_narrativeqa_r0.5 {'method': 0.13013566294816295, 'kvpress': 'think', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_think_numerical_niah_r0.5 {'method': 0.75, 'kvpress': 'think', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_think_quality_hard_r0.5 {'method': 0.0625, 'kvpress': 'think', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_think_ruler8k_r0.1 {'method': 0.9791666666666666, 'kvpress': 'think', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_think_ruler8k_r0.25 {'method': 0.9791666666666666, 'kvpress': 'think', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_think_ruler8k_r0.5 {'method': 0.9791666666666666, 'kvpress': 'think', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_think_ruler8k_r0.75 {'method': 0.1875, 'kvpress': 'think', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_think_ruler8k_r0.9 {'method': 0.0, 'kvpress': 'think', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_tova_narrativeqa_r0.5 {'method': 0.13394284958333844, 'kvpress': 'tova', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_tova_numerical_niah_r0.5 {'method': 0.6666666666666666, 'kvpress': 'tova', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_tova_quality_hard_r0.5 {'method': 0.16666666666666666, 'kvpress': 'tova', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_tova_ruler8k_r0.1 {'method': 0.8958333333333334, 'kvpress': 'tova', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL c_tova_ruler8k_r0.25 {'method': 0.7083333333333334, 'kvpress': 'tova', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL c_tova_ruler8k_r0.5 {'method': 0.1875, 'kvpress': 'tova', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL c_tova_ruler8k_r0.75 {'method': 0.041666666666666664, 'kvpress': 'tova', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL c_tova_ruler8k_r0.9 {'method': 0.020833333333333332, 'kvpress': 'tova', 'compression_ratio': 0.9, 'mode': 'kvpress'}
RECIPE_EVAL c_win_categorical_niah_w1024 {'no_ctx': 0.0, 'full': 0.0, 'method': 0.0, 'mode': 'txl'}
RECIPE_EVAL c_win_coding_niah_w1024 {'no_ctx': 0.0, 'full': 0.0, 'method': 0.0, 'mode': 'txl'}
RECIPE_EVAL c_win_locomo_w1024 {'no_ctx': 0.07693463761982475, 'full': 0.17144679820638487, 'method': 0.09596852410682713, 'mode': 'txl'}
RECIPE_EVAL c_win_musr_mm_w1024 {'no_ctx': 0.453125, 'full': 0.578125, 'method': 0.53125, 'mode': 'txl'}
