RECIPE_EVAL s10_adakv_confirm {'method': 0.0, 'kvpress': 'adakv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s1_h2o_nc22_r0.25 {'method': 0.3541666666666667, 'kvpress': 'h2o', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s1_h2o_nc22_r0.5 {'method': 0.0625, 'kvpress': 'h2o', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s1_h2o_nc22_r0.75 {'method': 0.020833333333333332, 'kvpress': 'h2o', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s1_h2o_nc44_r0.25 {'method': 0.5, 'kvpress': 'h2o', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s1_h2o_nc44_r0.5 {'method': 0.14583333333333334, 'kvpress': 'h2o', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s1_h2o_nc44_r0.75 {'method': 0.0625, 'kvpress': 'h2o', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s1_h2o_nc88_r0.25 {'method': 0.0, 'kvpress': 'h2o', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s1_h2o_nc88_r0.5 {'method': 0.041666666666666664, 'kvpress': 'h2o', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s1_h2o_nc88_r0.75 {'method': 0.0, 'kvpress': 'h2o', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s1_snapkv_nc22_r0.25 {'method': 0.875, 'kvpress': 'snapkv', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s1_snapkv_nc22_r0.5 {'method': 0.5833333333333334, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s1_snapkv_nc22_r0.75 {'method': 0.16666666666666666, 'kvpress': 'snapkv', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s1_snapkv_nc44_r0.25 {'method': 0.8125, 'kvpress': 'snapkv', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s1_snapkv_nc44_r0.5 {'method': 0.5208333333333334, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s1_snapkv_nc44_r0.75 {'method': 0.1875, 'kvpress': 'snapkv', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s1_snapkv_nc88_r0.25 {'method': 0.0, 'kvpress': 'snapkv', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s1_snapkv_nc88_r0.5 {'method': 0.0, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s1_snapkv_nc88_r0.75 {'method': 0.041666666666666664, 'kvpress': 'snapkv', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s1_tova_nc22_r0.25 {'method': 0.6875, 'kvpress': 'tova', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s1_tova_nc22_r0.5 {'method': 0.2916666666666667, 'kvpress': 'tova', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s1_tova_nc22_r0.75 {'method': 0.020833333333333332, 'kvpress': 'tova', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s1_tova_nc44_r0.25 {'method': 0.7083333333333334, 'kvpress': 'tova', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s1_tova_nc44_r0.5 {'method': 0.22916666666666666, 'kvpress': 'tova', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s1_tova_nc44_r0.75 {'method': 0.041666666666666664, 'kvpress': 'tova', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s1_tova_nc88_r0.25 {'method': 0.22916666666666666, 'kvpress': 'tova', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s1_tova_nc88_r0.5 {'method': 0.041666666666666664, 'kvpress': 'tova', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s1_tova_nc88_r0.75 {'method': 0.0, 'kvpress': 'tova', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s2_fastkvzip_nc176_r0.25 {'method': 1.0, 'kvpress': 'fastkvzip', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s2_fastkvzip_nc176_r0.5 {'method': 1.0, 'kvpress': 'fastkvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s2_fastkvzip_nc176_r0.75 {'method': 1.0, 'kvpress': 'fastkvzip', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s2_fastkvzip_nc22_r0.25 {'method': 1.0, 'kvpress': 'fastkvzip', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s2_fastkvzip_nc22_r0.5 {'method': 1.0, 'kvpress': 'fastkvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s2_fastkvzip_nc22_r0.75 {'method': 1.0, 'kvpress': 'fastkvzip', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s2_fastkvzip_nc44_r0.25 {'method': 0.9791666666666666, 'kvpress': 'fastkvzip', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s2_fastkvzip_nc44_r0.5 {'method': 0.9791666666666666, 'kvpress': 'fastkvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s2_fastkvzip_nc44_r0.75 {'method': 0.9791666666666666, 'kvpress': 'fastkvzip', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s2_fastkvzip_nc88_r0.25 {'method': 1.0, 'kvpress': 'fastkvzip', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s2_fastkvzip_nc88_r0.5 {'method': 1.0, 'kvpress': 'fastkvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s2_fastkvzip_nc88_r0.75 {'method': 1.0, 'kvpress': 'fastkvzip', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s2_knorm_nc176_r0.25 {'method': 0.9166666666666666, 'kvpress': 'knorm', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s2_knorm_nc176_r0.5 {'method': 0.6875, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s2_knorm_nc176_r0.75 {'method': 0.0, 'kvpress': 'knorm', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s2_knorm_nc22_r0.25 {'method': 0.75, 'kvpress': 'knorm', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s2_knorm_nc22_r0.5 {'method': 0.8333333333333334, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s2_knorm_nc22_r0.75 {'method': 0.3333333333333333, 'kvpress': 'knorm', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s2_knorm_nc44_r0.25 {'method': 0.9791666666666666, 'kvpress': 'knorm', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s2_knorm_nc44_r0.5 {'method': 0.8125, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s2_knorm_nc44_r0.75 {'method': 0.1875, 'kvpress': 'knorm', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s2_knorm_nc88_r0.25 {'method': 1.0, 'kvpress': 'knorm', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s2_knorm_nc88_r0.5 {'method': 0.8958333333333334, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s2_knorm_nc88_r0.75 {'method': 0.20833333333333334, 'kvpress': 'knorm', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s2_kvzip_nc176_r0.25 {'method': 1.0, 'kvpress': 'kvzip', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s2_kvzip_nc176_r0.5 {'method': 1.0, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s2_kvzip_nc176_r0.75 {'method': 1.0, 'kvpress': 'kvzip', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s2_kvzip_nc22_r0.25 {'method': 1.0, 'kvpress': 'kvzip', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s2_kvzip_nc22_r0.5 {'method': 1.0, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s2_kvzip_nc22_r0.75 {'method': 1.0, 'kvpress': 'kvzip', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s2_kvzip_nc44_r0.25 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s2_kvzip_nc44_r0.5 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s2_kvzip_nc44_r0.75 {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s2_kvzip_nc88_r0.25 {'method': 1.0, 'kvpress': 'kvzip', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s2_kvzip_nc88_r0.5 {'method': 1.0, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s2_kvzip_nc88_r0.75 {'method': 1.0, 'kvpress': 'kvzip', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s2_streaming_nc176_r0.25 {'method': 0.8541666666666666, 'kvpress': 'streaming', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s2_streaming_nc176_r0.5 {'method': 0.4583333333333333, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s2_streaming_nc176_r0.75 {'method': 0.3125, 'kvpress': 'streaming', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s2_streaming_nc22_r0.25 {'method': 0.7291666666666666, 'kvpress': 'streaming', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s2_streaming_nc22_r0.5 {'method': 0.4375, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s2_streaming_nc22_r0.75 {'method': 0.22916666666666666, 'kvpress': 'streaming', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s2_streaming_nc44_r0.25 {'method': 0.8125, 'kvpress': 'streaming', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s2_streaming_nc44_r0.5 {'method': 0.5833333333333334, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s2_streaming_nc44_r0.75 {'method': 0.2916666666666667, 'kvpress': 'streaming', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s2_streaming_nc88_r0.25 {'method': 0.7708333333333334, 'kvpress': 'streaming', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s2_streaming_nc88_r0.5 {'method': 0.4166666666666667, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s2_streaming_nc88_r0.75 {'method': 0.25, 'kvpress': 'streaming', 'compression_ratio': 0.75, 'mode': 'kvpress'}
RECIPE_EVAL s3_criticalkv_hotpot_qa {'method': 0.4953042328042328, 'kvpress': 'criticalkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_criticalkv_musr_mm {'method': 0.5625, 'kvpress': 'criticalkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_criticalkv_narrativeqa {'method': 0.12998914999688993, 'kvpress': 'criticalkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_criticalkv_numerical_niah {'method': 0.75, 'kvpress': 'criticalkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_criticalkv_quality_hard {'method': 0.14583333333333334, 'kvpress': 'criticalkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_criticalkv_ruler_niah {'method': 0.9791666666666666, 'kvpress': 'criticalkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_criticalkv_squad_v2 {'method': 0.31970046765243376, 'kvpress': 'criticalkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_criticalkv_trivia_qa {'method': 0.6812710437710437, 'kvpress': 'criticalkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_expected_hotpot_qa {'method': 0.5759959539371304, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_expected_musr_mm {'method': 0.5416666666666666, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_expected_narrativeqa {'method': 0.13735494336513848, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_expected_numerical_niah {'method': 0.7291666666666666, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_expected_quality_hard {'method': 0.16666666666666666, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_expected_ruler_niah {'method': 0.3958333333333333, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_expected_squad_v2 {'method': 0.6530647299771155, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_expected_trivia_qa {'method': 0.6927392977392978, 'kvpress': 'expected', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_h2o_hotpot_qa {'method': 0.5388310185185184, 'kvpress': 'h2o', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_h2o_musr_mm {'method': 0.5625, 'kvpress': 'h2o', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_h2o_narrativeqa {'method': 0.1352787924176451, 'kvpress': 'h2o', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_h2o_numerical_niah {'method': 0.125, 'kvpress': 'h2o', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_h2o_quality_hard {'method': 0.16666666666666666, 'kvpress': 'h2o', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_h2o_ruler_niah {'method': 0.14583333333333334, 'kvpress': 'h2o', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_h2o_squad_v2 {'method': 0.6703168765483679, 'kvpress': 'h2o', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_h2o_trivia_qa {'method': 0.7232786195286195, 'kvpress': 'h2o', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_knorm_hotpot_qa {'method': 0.20944292506792506, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_knorm_musr_mm {'method': 0.4583333333333333, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_knorm_narrativeqa {'method': 0.14823935482636463, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_knorm_numerical_niah {'method': 0.75, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_knorm_quality_hard {'method': 0.1875, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_knorm_ruler_niah {'method': 0.8125, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_knorm_squad_v2 {'method': 0.2529659201480569, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_knorm_trivia_qa {'method': 0.49589262771828563, 'kvpress': 'knorm', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_kvzip_hotpot_qa {'method': 0.5529987543774308, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_kvzip_musr_mm {'method': 0.6041666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_kvzip_narrativeqa {'method': 0.14970131771114767, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_kvzip_numerical_niah {'method': 0.75, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_kvzip_quality_hard {'method': 0.125, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_kvzip_ruler_niah {'method': 0.9791666666666666, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_kvzip_squad_v2 {'method': 0.7182242476527053, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_kvzip_trivia_qa {'method': 0.7345117845117844, 'kvpress': 'kvzip', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_snapkv_hotpot_qa {'method': 0.48797949735449736, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_snapkv_musr_mm {'method': 0.5833333333333334, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_snapkv_narrativeqa {'method': 0.13172336777899182, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_snapkv_numerical_niah {'method': 0.625, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_snapkv_quality_hard {'method': 0.125, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_snapkv_ruler_niah {'method': 0.5208333333333334, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_snapkv_squad_v2 {'method': 0.2854494154292541, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_snapkv_trivia_qa {'method': 0.6826210826210826, 'kvpress': 'snapkv', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_streaming_hotpot_qa {'method': 0.424786556036556, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_streaming_musr_mm {'method': 0.5833333333333334, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_streaming_narrativeqa {'method': 0.1463310317853441, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_streaming_numerical_niah {'method': 0.2916666666666667, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_streaming_quality_hard {'method': 0.125, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_streaming_ruler_niah {'method': 0.5833333333333334, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_streaming_squad_v2 {'method': 0.4212121166798782, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_streaming_trivia_qa {'method': 0.6487077737077737, 'kvpress': 'streaming', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_tova_hotpot_qa {'method': 0.4648974867724868, 'kvpress': 'tova', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_tova_musr_mm {'method': 0.5625, 'kvpress': 'tova', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_tova_narrativeqa {'method': 0.16141252147913823, 'kvpress': 'tova', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_tova_numerical_niah {'method': 0.6666666666666666, 'kvpress': 'tova', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_tova_quality_hard {'method': 0.125, 'kvpress': 'tova', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_tova_ruler_niah {'method': 0.1875, 'kvpress': 'tova', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_tova_squad_v2 {'method': 0.4917758479111945, 'kvpress': 'tova', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s3_tova_trivia_qa {'method': 0.7598188848188848, 'kvpress': 'tova', 'compression_ratio': 0.5, 'mode': 'kvpress'}
RECIPE_EVAL s4_criticalkv_r0.1 {'method': 0.9791666666666666, 'kvpress': 'criticalkv', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL s4_criticalkv_r0.25 {'method': 0.9791666666666666, 'kvpress': 'criticalkv', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s4_criticalkv_r0.4 {'method': 0.9791666666666666, 'kvpress': 'criticalkv', 'compression_ratio': 0.4, 'mode': 'kvpress'}
RECIPE_EVAL s4_criticalkv_r0.55 {'method': 0.9791666666666666, 'kvpress': 'criticalkv', 'compression_ratio': 0.55, 'mode': 'kvpress'}
RECIPE_EVAL s4_criticalkv_r0.7 {'method': 0.7916666666666666, 'kvpress': 'criticalkv', 'compression_ratio': 0.7, 'mode': 'kvpress'}
RECIPE_EVAL s4_criticalkv_r0.85 {'method': 0.10416666666666667, 'kvpress': 'criticalkv', 'compression_ratio': 0.85, 'mode': 'kvpress'}
RECIPE_EVAL s4_expected_r0.1 {'method': 0.9791666666666666, 'kvpress': 'expected', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL s4_expected_r0.25 {'method': 0.9791666666666666, 'kvpress': 'expected', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s4_expected_r0.4 {'method': 0.7916666666666666, 'kvpress': 'expected', 'compression_ratio': 0.4, 'mode': 'kvpress'}
RECIPE_EVAL s4_expected_r0.55 {'method': 0.3125, 'kvpress': 'expected', 'compression_ratio': 0.55, 'mode': 'kvpress'}
RECIPE_EVAL s4_expected_r0.7 {'method': 0.020833333333333332, 'kvpress': 'expected', 'compression_ratio': 0.7, 'mode': 'kvpress'}
RECIPE_EVAL s4_expected_r0.85 {'method': 0.0, 'kvpress': 'expected', 'compression_ratio': 0.85, 'mode': 'kvpress'}
RECIPE_EVAL s4_h2o_r0.1 {'method': 0.8958333333333334, 'kvpress': 'h2o', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL s4_h2o_r0.25 {'method': 0.5, 'kvpress': 'h2o', 'compression_ratio': 0.25, 'mode': 'kvpress'}
RECIPE_EVAL s4_h2o_r0.4 {'method': 0.22916666666666666, 'kvpress': 'h2o', 'compression_ratio': 0.4, 'mode': 'kvpress'}
RECIPE_EVAL s4_h2o_r0.55 {'method': 0.10416666666666667, 'kvpress': 'h2o', 'compression_ratio': 0.55, 'mode': 'kvpress'}
RECIPE_EVAL s4_h2o_r0.7 {'method': 0.0625, 'kvpress': 'h2o', 'compression_ratio': 0.7, 'mode': 'kvpress'}
RECIPE_EVAL s4_h2o_r0.85 {'method': 0.020833333333333332, 'kvpress': 'h2o', 'compression_ratio': 0.85, 'mode': 'kvpress'}
RECIPE_EVAL s4_knorm_r0.1 {'method': 0.9791666666666666, 'kvpress': 'knorm', 'compression_ratio': 0.1, 'mode': 'kvpress'}
RECIPE_EVAL s4_knorm_r0.25 {'method': 0.9791666666666666, 'kvpress': 'knorm', 'compression_ratio': 0.25, 'mode': 'kvpress'}
