signal,angle,granularity,bench,auroc_correct,auroc_noharm,spearman_cont
ll_argmax_agree_final_l@11,agreement,per_layer,hotpot_qa,0.5000,0.5000,
ll_argmax_agree_final_l@21,agreement,per_layer,hotpot_qa,0.5026,0.4926,0.1195
ll_kl_wb_l@36,divergence,per_layer,hotpot_qa,0.3855,0.4375,-0.0925
ll_kl_wb_l@13,divergence,per_layer,hotpot_qa,0.4710,0.4256,-0.0407
ll_argmax_agree_final_l@33,agreement,per_layer,hotpot_qa,0.5326,0.4875,0.0981
ll_margin_w_l@9,confidence,per_layer,hotpot_qa,0.4419,0.4666,-0.0668
ll_argmax_agree_final_l@34,agreement,per_layer,hotpot_qa,0.5457,0.4637,0.1210
ll_kl_wb_l::early,divergence,derived,hotpot_qa,0.5696,0.4642,0.0220
ll_kl_wb_l@7,divergence,per_layer,hotpot_qa,0.6171,0.5137,0.0347
drift_l@30,geometry,per_layer,hotpot_qa,0.3704,0.4032,-0.1271
ll_margin_w_l@35,confidence,per_layer,hotpot_qa,0.5610,0.4442,0.1343
delta_last,geometry,scalar,hotpot_qa,0.5339,0.5469,-0.0191
ll_margin_w_l@24,confidence,per_layer,hotpot_qa,0.5117,0.4480,0.0917
ll_margin_w_l@28,confidence,per_layer,hotpot_qa,0.5135,0.4500,0.0086
ll_margin_w_l@13,confidence,per_layer,hotpot_qa,0.4856,0.4887,0.0174
drift_l@2,geometry,per_layer,hotpot_qa,0.6236,0.5545,0.0273
ll_margin_w_l::mean,confidence,derived,hotpot_qa,0.5964,0.4272,0.1558
ll_margin_w_l::max,confidence,derived,hotpot_qa,0.5921,0.4589,0.1250
ll_conf_w_l@20,confidence,per_layer,hotpot_qa,0.4775,0.4237,-0.0094
drift_l::min,geometry,derived,hotpot_qa,0.5000,0.5000,
drift_l@31,geometry,per_layer,hotpot_qa,0.3542,0.4165,-0.1399
ll_margin_w_l@5,confidence,per_layer,hotpot_qa,0.4874,0.5038,-0.0308
ll_kl_wb_l@34,divergence,per_layer,hotpot_qa,0.3107,0.4410,-0.2103
ll_argmax_agree_final_l@26,agreement,per_layer,hotpot_qa,0.4818,0.4963,-0.0477
drift_l@3,geometry,per_layer,hotpot_qa,0.6081,0.5297,0.0219
ll_argmax_agree_final_l@20,agreement,per_layer,hotpot_qa,0.5035,0.5005,0.0535
ll_margin_w_l@33,confidence,per_layer,hotpot_qa,0.5732,0.4648,0.1154
span_entropy_mean,confidence,scalar,hotpot_qa,0.3395,0.5570,-0.2029
ll_margin_w_l::mid,confidence,derived,hotpot_qa,0.5552,0.4512,0.1406
seq_logprob,confidence,scalar,hotpot_qa,0.7316,0.4986,0.1890
ll_kl_wb_l@2,divergence,per_layer,hotpot_qa,0.5983,0.5462,0.0004
ll_conf_w_l@6,confidence,per_layer,hotpot_qa,0.4690,0.4872,0.0032
ll_kl_wb_l@19,divergence,per_layer,hotpot_qa,0.4194,0.4126,-0.0672
ll_argmax_agree_final_l@13,agreement,per_layer,hotpot_qa,0.5000,0.5000,
drift_l@11,geometry,per_layer,hotpot_qa,0.5004,0.4222,0.0037
drift_l@10,geometry,per_layer,hotpot_qa,0.5638,0.4572,0.0155
ll_entropy_w_l@8,confidence,per_layer,hotpot_qa,0.3961,0.4517,-0.0054
drift_l@29,geometry,per_layer,hotpot_qa,0.3763,0.3999,-0.1146
ll_entropy_w_l@32,confidence,per_layer,hotpot_qa,0.3863,0.5430,-0.1248
ll_argmax_agree_final_l@2,agreement,per_layer,hotpot_qa,0.5000,0.5000,
ll_kl_wb_l@17,divergence,per_layer,hotpot_qa,0.4308,0.4060,-0.0620
ll_conf_w_l::early,confidence,derived,hotpot_qa,0.5277,0.4811,0.0248
ll_conf_w_l@15,confidence,per_layer,hotpot_qa,0.4496,0.5045,-0.0449
ll_margin_w_l@11,confidence,per_layer,hotpot_qa,0.5176,0.4869,0.0463
ll_conf_w_l@18,confidence,per_layer,hotpot_qa,0.5400,0.5009,0.0899
ll_kl_wb_l::min,divergence,derived,hotpot_qa,0.5000,0.5000,
drift_l@0,geometry,per_layer,hotpot_qa,0.5000,0.5000,
ll_argmax_agree_final_l@1,agreement,per_layer,hotpot_qa,0.5000,0.5000,
entropy_0,confidence,scalar,hotpot_qa,0.2400,0.6277,-0.3736
ll_entropy_w_l::mean,confidence,derived,hotpot_qa,0.3701,0.5820,-0.2049
ll_entropy_w_l@35,confidence,per_layer,hotpot_qa,0.3577,0.5940,-0.2428
ll_entropy_w_l@17,confidence,per_layer,hotpot_qa,0.4226,0.4224,-0.0215
ll_margin_w_l::slope,confidence,derived,hotpot_qa,0.5921,0.4343,0.1248
ll_entropy_w_l@27,confidence,per_layer,hotpot_qa,0.4614,0.5582,-0.0860
ll_margin_w_l@22,confidence,per_layer,hotpot_qa,0.5015,0.4350,0.0853
ll_conf_w_l@5,confidence,per_layer,hotpot_qa,0.4779,0.5350,-0.0516
ll_entropy_w_l@10,confidence,per_layer,hotpot_qa,0.3864,0.4654,-0.0611
delta_mean,geometry,scalar,hotpot_qa,0.5322,0.5525,-0.0267
ll_argmax_agree_final_l@7,agreement,per_layer,hotpot_qa,0.5000,0.5000,
ll_argmax_agree_final_l@18,agreement,per_layer,hotpot_qa,0.5035,0.5005,0.0473
drift_l@16,geometry,per_layer,hotpot_qa,0.4195,0.3992,-0.0625
first_tok_agree,agreement,scalar,hotpot_qa,0.5626,0.5820,0.0867
span_entropy_min,confidence,scalar,hotpot_qa,0.5096,0.5581,-0.0502
ll_argmax_agree_final_l::mean,agreement,derived,hotpot_qa,0.5142,0.4710,0.0646
ll_margin_w_l::late,confidence,derived,hotpot_qa,0.5916,0.4335,0.1253
ll_argmax_agree_final_l@5,agreement,per_layer,hotpot_qa,0.5000,0.5000,
ll_conf_w_l@17,confidence,per_layer,hotpot_qa,0.5315,0.5507,0.0297
ll_kl_wb_l@21,divergence,per_layer,hotpot_qa,0.4054,0.4245,-0.0759
ll_argmax_agree_final_l@25,agreement,per_layer,hotpot_qa,0.4975,0.4896,0.0347
drift_l@35,geometry,per_layer,hotpot_qa,0.3682,0.4659,-0.1468
ll_argmax_agree_final_l::early,agreement,derived,hotpot_qa,0.5000,0.5000,
ll_margin_w_l@16,confidence,per_layer,hotpot_qa,0.5491,0.5449,0.0380
ll_argmax_agree_final_l@0,agreement,per_layer,hotpot_qa,0.5000,0.5000,
ll_conf_w_l::mean,confidence,derived,hotpot_qa,0.6206,0.4132,0.1966
ll_conf_w_l@35,confidence,per_layer,hotpot_qa,0.5892,0.4300,0.1810
ll_conf_w_l@25,confidence,per_layer,hotpot_qa,0.5569,0.4389,0.0894
ll_conf_w_l::max,confidence,derived,hotpot_qa,0.6095,0.4546,0.1434
perplexity,confidence,scalar,hotpot_qa,0.5367,0.5873,-0.0719
ll_conf_w_l@16,confidence,per_layer,hotpot_qa,0.5880,0.5598,0.0620
ll_conf_w_l@21,confidence,per_layer,hotpot_qa,0.5047,0.4472,0.0691
drift_l@21,geometry,per_layer,hotpot_qa,0.4109,0.3939,-0.0474
ll_kl_wb_l@5,divergence,per_layer,hotpot_qa,0.6012,0.4974,0.0228
ll_kl_wb_l@33,divergence,per_layer,hotpot_qa,0.3109,0.4410,-0.1824
ll_argmax_agree_final_l@30,agreement,per_layer,hotpot_qa,0.5005,0.4751,0.0006
ll_margin_w_l@25,confidence,per_layer,hotpot_qa,0.5485,0.4403,0.0541
ll_kl_wb_l@23,divergence,per_layer,hotpot_qa,0.4170,0.4281,-0.1122
ll_kl_wb_l@24,divergence,per_layer,hotpot_qa,0.4184,0.4579,-0.1159
drift_l::mid,geometry,derived,hotpot_qa,0.4111,0.3991,-0.0604
ll_argmax_agree_final_l@17,agreement,per_layer,hotpot_qa,0.5000,0.5000,
drift_l@23,geometry,per_layer,hotpot_qa,0.3996,0.3945,-0.0638
ll_conf_w_l@33,confidence,per_layer,hotpot_qa,0.6188,0.4469,0.1646
ll_kl_wb_l@28,divergence,per_layer,hotpot_qa,0.3822,0.4756,-0.1383
ll_entropy_w_l@21,confidence,per_layer,hotpot_qa,0.4893,0.5812,-0.0893
ll_entropy_w_l@3,confidence,per_layer,hotpot_qa,0.4901,0.4834,-0.0238
ll_argmax_agree_final_l::late,agreement,derived,hotpot_qa,0.5285,0.4697,0.0689
ll_kl_wb_l@29,divergence,per_layer,hotpot_qa,0.3618,0.4614,-0.1479
ll_conf_w_l@24,confidence,per_layer,hotpot_qa,0.5202,0.4424,0.1243
ll_kl_wb_l@20,divergence,per_layer,hotpot_qa,0.4033,0.4001,-0.0698
ll_conf_w_l@11,confidence,per_layer,hotpot_qa,0.5331,0.4881,0.0521
ll_entropy_w_l@2,confidence,per_layer,hotpot_qa,0.5124,0.5123,0.0138
ll_conf_w_l@27,confidence,per_layer,hotpot_qa,0.5018,0.4440,0.0450
ll_conf_w_l@28,confidence,per_layer,hotpot_qa,0.5171,0.4365,0.0436
ll_argmax_agree_final_l::mid,agreement,derived,hotpot_qa,0.4571,0.4905,0.0116
ll_kl_wb_l@18,divergence,per_layer,hotpot_qa,0.4212,0.4054,-0.0649
ll_margin_w_l@19,confidence,per_layer,hotpot_qa,0.5494,0.5038,0.0474
ll_argmax_agree_final_l@29,agreement,per_layer,hotpot_qa,0.4733,0.4859,-0.0146
q_chunk_max_cos,geometry,scalar,hotpot_qa,0.4535,0.5200,-0.0882
drift_l@5,geometry,per_layer,hotpot_qa,0.5979,0.4960,0.0218
ll_kl_wb_l@4,divergence,per_layer,hotpot_qa,0.6180,0.5313,0.0287
drift_l::slope,geometry,derived,hotpot_qa,0.3397,0.4540,-0.0964
ll_entropy_w_l::min,confidence,derived,hotpot_qa,0.3613,0.5601,-0.1790
drift_mem,geometry,scalar,hotpot_qa,0.5292,0.5510,-0.0260
q_chunk_mean_cos,geometry,scalar,hotpot_qa,0.5026,0.5060,-0.0136
ll_entropy_w_l::slope,confidence,derived,hotpot_qa,0.4098,0.5953,-0.1653
ll_kl_wb_l::mean,divergence,derived,hotpot_qa,0.4032,0.4158,-0.1121
span_conf_mean,confidence,scalar,hotpot_qa,0.6201,0.4591,0.1403
ll_entropy_w_l::mid,confidence,derived,hotpot_qa,0.4455,0.5698,-0.1474
ll_entropy_w_l@0,confidence,per_layer,hotpot_qa,0.5000,0.5000,
ll_argmax_agree_final_l::min,agreement,derived,hotpot_qa,0.5000,0.5000,
ll_kl_wb_l::mid,divergence,derived,hotpot_qa,0.4154,0.4117,-0.0819
ll_conf_w_l@7,confidence,per_layer,hotpot_qa,0.6449,0.5654,0.0884
ll_conf_w_l@34,confidence,per_layer,hotpot_qa,0.6333,0.4238,0.2027
ll_margin_w_l@34,confidence,per_layer,hotpot_qa,0.6042,0.4449,0.1619
drift_l@17,geometry,per_layer,hotpot_qa,0.4127,0.4008,-0.0712
ll_conf_w_l::min,confidence,derived,hotpot_qa,0.4822,0.5228,0.0070
ll_argmax_agree_final_l@4,agreement,per_layer,hotpot_qa,0.5000,0.5000,
margin_0,confidence,scalar,hotpot_qa,0.6721,0.4364,0.2514
ll_entropy_w_l@18,confidence,per_layer,hotpot_qa,0.4289,0.4774,-0.0862
drift_l@9,geometry,per_layer,hotpot_qa,0.5712,0.4616,0.0221
ll_conf_w_l@32,confidence,per_layer,hotpot_qa,0.5591,0.4628,0.0755
mem_influence_argmax_change,agreement,scalar,hotpot_qa,0.4454,0.4200,-0.0891
ll_argmax_agree_final_l@15,agreement,per_layer,hotpot_qa,0.5000,0.5000,
ll_kl_wb_l@26,divergence,per_layer,hotpot_qa,0.4331,0.4756,-0.1305
ll_margin_w_l@31,confidence,per_layer,hotpot_qa,0.5631,0.4936,0.0307
ll_entropy_w_l@7,confidence,per_layer,hotpot_qa,0.3549,0.4298,-0.0697
ll_margin_w_l@4,confidence,per_layer,hotpot_qa,0.5383,0.4955,0.0458
ll_conf_w_l@9,confidence,per_layer,hotpot_qa,0.4832,0.4803,-0.0397
drift_l::late,geometry,derived,hotpot_qa,0.3649,0.4130,-0.1285
ll_kl_wb_l@30,divergence,per_layer,hotpot_qa,0.3797,0.4368,-0.1175
ll_argmax_agree_final_l@3,agreement,per_layer,hotpot_qa,0.5000,0.5000,
ll_entropy_w_l@4,confidence,per_layer,hotpot_qa,0.4925,0.4960,-0.0204
ll_margin_w_l@30,confidence,per_layer,hotpot_qa,0.4933,0.4742,-0.0285
ll_kl_wb_l@35,divergence,per_layer,hotpot_qa,0.3286,0.4579,-0.1896
ll_margin_w_l::min,confidence,derived,hotpot_qa,0.5035,0.4987,0.0282
ll_entropy_w_l@22,confidence,per_layer,hotpot_qa,0.4480,0.5814,-0.1358
drift_l@18,geometry,per_layer,hotpot_qa,0.4047,0.3970,-0.0625
ll_kl_wb_l@16,divergence,per_layer,hotpot_qa,0.4436,0.4129,-0.0572
ll_margin_w_l::early,confidence,derived,hotpot_qa,0.5009,0.4762,0.0120
js_w0,divergence,scalar,hotpot_qa,0.3219,0.4063,-0.1835
ll_conf_w_l@26,confidence,per_layer,hotpot_qa,0.4973,0.4806,0.0429
ll_margin_w_l@32,confidence,per_layer,hotpot_qa,0.5235,0.4723,0.0479
ll_kl_wb_l::slope,divergence,derived,hotpot_qa,0.3274,0.4480,-0.1396
drift_l::early,geometry,derived,hotpot_qa,0.5839,0.4783,0.0268
ll_conf_w_l@8,confidence,per_layer,hotpot_qa,0.5484,0.5584,-0.0500
ll_conf_w_l@36,confidence,per_layer,hotpot_qa,0.6378,0.4670,0.1219
delta_trend,geometry,scalar,hotpot_qa,0.5242,0.5264,-0.0149
ll_entropy_w_l@36,confidence,per_layer,hotpot_qa,0.3171,0.5490,-0.1990
drift_l@8,geometry,per_layer,hotpot_qa,0.5868,0.4732,0.0322
ll_argmax_agree_final_l@12,agreement,per_layer,hotpot_qa,0.5000,0.5000,
ll_kl_wb_l@14,divergence,per_layer,hotpot_qa,0.4956,0.4285,-0.0235
margin_w,confidence,scalar,hotpot_qa,0.6043,0.5132,0.1045
drift_l@36,geometry,per_layer,hotpot_qa,0.4340,0.4592,-0.0481
ll_entropy_w_l@11,confidence,per_layer,hotpot_qa,0.4624,0.5091,-0.0561
ll_entropy_w_l::early,confidence,derived,hotpot_qa,0.4296,0.4963,-0.0346
slot_active_frac,geometry,scalar,hotpot_qa,0.5772,0.5438,0.0069
drift_l@22,geometry,per_layer,hotpot_qa,0.3972,0.3934,-0.0591
ll_conf_w_l@2,confidence,per_layer,hotpot_qa,0.4610,0.4641,-0.0011
slot_norm_std,geometry,scalar,hotpot_qa,0.4386,0.4932,-0.0832
drift_l@26,geometry,per_layer,hotpot_qa,0.3925,0.3964,-0.0926
ll_conf_w_l@1,confidence,per_layer,hotpot_qa,0.5769,0.5086,0.0282
ll_kl_wb_l::late,divergence,derived,hotpot_qa,0.3522,0.4271,-0.1453
slot_norm_mean,geometry,scalar,hotpot_qa,0.5293,0.5510,-0.0259
ll_argmax_agree_final_l::max,agreement,derived,hotpot_qa,0.5268,0.4918,0.0716
conf_w,confidence,scalar,hotpot_qa,0.6388,0.4927,0.1541
drift_l@12,geometry,per_layer,hotpot_qa,0.4671,0.4142,-0.0254
ll_entropy_w_l::max,confidence,derived,hotpot_qa,0.5274,0.4711,0.0137
ll_kl_wb_l@32,divergence,per_layer,hotpot_qa,0.3594,0.4437,-0.1435
ll_entropy_w_l@30,confidence,per_layer,hotpot_qa,0.4515,0.5455,-0.0638
drift_l@33,geometry,per_layer,hotpot_qa,0.3507,0.4354,-0.1556
ll_conf_w_l@14,confidence,per_layer,hotpot_qa,0.5533,0.4893,0.0597
ll_entropy_w_l@20,confidence,per_layer,hotpot_qa,0.5143,0.5572,0.0198
top5_mass_w,confidence,scalar,hotpot_qa,0.7605,0.4341,0.3163
drift_l@24,geometry,per_layer,hotpot_qa,0.3901,0.3902,-0.0740
ll_entropy_w_l@24,confidence,per_layer,hotpot_qa,0.4763,0.5649,-0.1413
drift_l::max,geometry,derived,hotpot_qa,0.4922,0.4547,-0.0167
ll_margin_w_l@8,confidence,per_layer,hotpot_qa,0.5535,0.5567,-0.0427
ll_conf_w_l@3,confidence,per_layer,hotpot_qa,0.4558,0.4978,0.0023
ll_argmax_agree_final_l::slope,agreement,derived,hotpot_qa,0.5285,0.4697,0.0689
ll_margin_w_l@21,confidence,per_layer,hotpot_qa,0.4952,0.4687,0.0524
ll_margin_w_l@29,confidence,per_layer,hotpot_qa,0.5225,0.4312,0.0396
ll_argmax_agree_final_l@24,agreement,per_layer,hotpot_qa,0.4758,0.5009,0.0118
ll_kl_wb_l@8,divergence,per_layer,hotpot_qa,0.5813,0.4784,0.0168
q_chunk_spread,geometry,scalar,hotpot_qa,0.4461,0.5093,-0.0715
ll_kl_wb_l@31,divergence,per_layer,hotpot_qa,0.3670,0.4482,-0.1275
ll_argmax_agree_final_l@27,agreement,per_layer,hotpot_qa,0.4746,0.4978,-0.0448
ll_kl_wb_l@1,divergence,per_layer,hotpot_qa,0.6006,0.5498,0.0072
ll_entropy_w_l@26,confidence,per_layer,hotpot_qa,0.4727,0.5230,-0.0815
ll_kl_wb_l@10,divergence,per_layer,hotpot_qa,0.5725,0.4563,0.0231
ll_conf_w_l@23,confidence,per_layer,hotpot_qa,0.5727,0.4395,0.1702
ll_argmax_agree_final_l@28,agreement,per_layer,hotpot_qa,0.4629,0.4977,-0.0343
ll_margin_w_l@36,confidence,per_layer,hotpot_qa,0.6025,0.4761,0.0692
ll_entropy_w_l@19,confidence,per_layer,hotpot_qa,0.4219,0.5579,-0.0874
ll_entropy_w_l@28,confidence,per_layer,hotpot_qa,0.4658,0.5728,-0.0811
ll_conf_w_l::mid,confidence,derived,hotpot_qa,0.5678,0.4399,0.1581
ll_margin_w_l@27,confidence,per_layer,hotpot_qa,0.4814,0.4553,0.0049
drift_l@20,geometry,per_layer,hotpot_qa,0.3972,0.3925,-0.0542
drift_l::mean,geometry,derived,hotpot_qa,0.4552,0.4240,-0.0662
ll_conf_w_l@13,confidence,per_layer,hotpot_qa,0.4802,0.4798,0.0094
ll_kl_wb_l@27,divergence,per_layer,hotpot_qa,0.3826,0.4778,-0.1579
conf_0,confidence,scalar,hotpot_qa,0.7233,0.4032,0.3208
drift_l@25,geometry,per_layer,hotpot_qa,0.3850,0.3928,-0.0913
delta_max,geometry,scalar,hotpot_qa,0.5535,0.5652,-0.0035
ll_conf_w_l@0,confidence,per_layer,hotpot_qa,0.5000,0.5000,
ll_entropy_w_l@12,confidence,per_layer,hotpot_qa,0.4987,0.5328,-0.0204
ll_entropy_w_l@34,confidence,per_layer,hotpot_qa,0.3295,0.6003,-0.2530
ll_conf_w_l@31,confidence,per_layer,hotpot_qa,0.5775,0.4779,0.0593
ll_margin_w_l@12,confidence,per_layer,hotpot_qa,0.4894,0.4449,0.0067
ll_kl_wb_l@3,divergence,per_layer,hotpot_qa,0.5980,0.5289,0.0105
ll_kl_wb_l@9,divergence,per_layer,hotpot_qa,0.5667,0.4597,0.0163
span_entropy_last,confidence,scalar,hotpot_qa,0.5010,0.5471,-0.0546
ll_argmax_agree_final_l@31,agreement,per_layer,hotpot_qa,0.5266,0.4765,0.0663
ll_argmax_agree_final_l@10,agreement,per_layer,hotpot_qa,0.5000,0.5000,
ll_argmax_agree_final_l@8,agreement,per_layer,hotpot_qa,0.5000,0.5000,
ll_entropy_w_l@25,confidence,per_layer,hotpot_qa,0.4172,0.5542,-0.1380
ll_entropy_w_l@23,confidence,per_layer,hotpot_qa,0.4243,0.5770,-0.1840
ll_margin_w_l@2,confidence,per_layer,hotpot_qa,0.4856,0.4978,0.0113
drift_l@34,geometry,per_layer,hotpot_qa,0.3491,0.4458,-0.1616
ll_entropy_w_l@33,confidence,per_layer,hotpot_qa,0.3260,0.5725,-0.2116
ll_conf_w_l@29,confidence,per_layer,hotpot_qa,0.5331,0.4243,0.0596
ll_margin_w_l@3,confidence,per_layer,hotpot_qa,0.4218,0.4884,-0.0128
ll_margin_w_l@26,confidence,per_layer,hotpot_qa,0.4846,0.4838,0.0187
ll_kl_wb_l@6,divergence,per_layer,hotpot_qa,0.5993,0.4966,0.0212
ll_kl_wb_l@12,divergence,per_layer,hotpot_qa,0.5215,0.4377,0.0127
ll_argmax_agree_final_l@14,agreement,per_layer,hotpot_qa,0.5000,0.5000,
ll_kl_wb_l@25,divergence,per_layer,hotpot_qa,0.4154,0.4662,-0.1425
ll_kl_wb_l@22,divergence,per_layer,hotpot_qa,0.3960,0.4199,-0.0871
ll_entropy_w_l@13,confidence,per_layer,hotpot_qa,0.5143,0.5307,-0.0142
ll_conf_w_l@19,confidence,per_layer,hotpot_qa,0.5863,0.4898,0.0874
ll_margin_w_l@18,confidence,per_layer,hotpot_qa,0.5295,0.4838,0.0964
ll_margin_w_l@23,confidence,per_layer,hotpot_qa,0.5399,0.4515,0.1362
drift_l@19,geometry,per_layer,hotpot_qa,0.3993,0.3997,-0.0664
mem_influence_kl,divergence,scalar,hotpot_qa,0.3341,0.3811,-0.1449
drift_l@15,geometry,per_layer,hotpot_qa,0.4399,0.4087,-0.0490
ll_entropy_w_l@31,confidence,per_layer,hotpot_qa,0.4108,0.5424,-0.0955
ll_conf_w_l::late,confidence,derived,hotpot_qa,0.6139,0.4192,0.1690
ll_argmax_agree_final_l@36,agreement,per_layer,hotpot_qa,0.4906,0.4951,0.0008
drift_l@13,geometry,per_layer,hotpot_qa,0.4527,0.4119,-0.0377
ll_argmax_agree_final_l@23,agreement,per_layer,hotpot_qa,0.4648,0.4934,0.0167
ll_margin_w_l@14,confidence,per_layer,hotpot_qa,0.5398,0.5096,0.0518
ll_margin_w_l@1,confidence,per_layer,hotpot_qa,0.5881,0.5202,0.0212
drift_l@14,geometry,per_layer,hotpot_qa,0.4428,0.4057,-0.0410
ll_entropy_w_l@5,confidence,per_layer,hotpot_qa,0.4483,0.4218,-0.0258
ll_argmax_agree_final_l@6,agreement,per_layer,hotpot_qa,0.5000,0.5000,
kl_0w,divergence,scalar,hotpot_qa,0.3237,0.4340,-0.2019
ll_argmax_agree_final_l@19,agreement,per_layer,hotpot_qa,0.5000,0.5000,
drift_l@32,geometry,per_layer,hotpot_qa,0.3437,0.4270,-0.1591
tv_w0,divergence,scalar,hotpot_qa,0.3275,0.4078,-0.1836
ll_entropy_w_l@9,confidence,per_layer,hotpot_qa,0.3886,0.4504,-0.0174
ll_kl_wb_l@11,divergence,per_layer,hotpot_qa,0.4993,0.4161,0.0213
ll_margin_w_l@7,confidence,per_layer,hotpot_qa,0.6280,0.5499,0.0932
entropy_w,confidence,scalar,hotpot_qa,0.2846,0.5490,-0.2546
drift_l@4,geometry,per_layer,musr_mm,0.4913,0.5384,-0.0058
ll_entropy_w_l@29,confidence,per_layer,musr_mm,0.5023,0.4917,0.0096
ll_argmax_agree_final_l@32,agreement,per_layer,musr_mm,0.5019,0.5139,0.0065
ll_conf_w_l@4,confidence,per_layer,musr_mm,0.5084,0.5158,0.0099
ll_argmax_agree_final_l@22,agreement,per_layer,musr_mm,0.5000,0.5000,
drift_l@6,geometry,per_layer,musr_mm,0.4905,0.5526,-0.0080
ll_margin_w_l@15,confidence,per_layer,musr_mm,0.5096,0.4698,0.0258
ll_argmax_agree_final_l@9,agreement,per_layer,musr_mm,0.5000,0.5000,
ll_argmax_agree_final_l@35,agreement,per_layer,musr_mm,0.4942,0.5012,-0.0175
ll_kl_wb_l@15,divergence,per_layer,musr_mm,0.4878,0.5350,-0.0267
ll_kl_wb_l::max,divergence,derived,musr_mm,0.4882,0.4664,-0.0172
ll_entropy_w_l@15,confidence,per_layer,musr_mm,0.4886,0.5434,-0.0277
drift_l@27,geometry,per_layer,musr_mm,0.4946,0.5120,-0.0141
ll_entropy_w_l@16,confidence,per_layer,musr_mm,0.5024,0.5304,-0.0049
ll_entropy_w_l@14,confidence,per_layer,musr_mm,0.4928,0.4914,-0.0084
ll_margin_w_l@20,confidence,per_layer,musr_mm,0.4988,0.5216,-0.0153
ll_conf_w_l@10,confidence,per_layer,musr_mm,0.5004,0.5202,0.0146
ll_kl_wb_l@0,divergence,per_layer,musr_mm,0.5000,0.5000,
ll_conf_w_l::slope,confidence,derived,musr_mm,0.5039,0.5301,0.0175
ll_conf_w_l@22,confidence,per_layer,musr_mm,0.4919,0.5273,0.0046
ll_conf_w_l@30,confidence,per_layer,musr_mm,0.4922,0.4952,-0.0050
ll_margin_w_l@0,confidence,per_layer,musr_mm,0.5000,0.5000,
ll_margin_w_l@6,confidence,per_layer,musr_mm,0.4956,0.4917,-0.0113
ll_entropy_w_l::late,confidence,derived,musr_mm,0.4896,0.4613,-0.0184
drift_l@7,geometry,per_layer,musr_mm,0.4901,0.5573,-0.0100
slot_norm_max,geometry,scalar,musr_mm,0.4916,0.4928,-0.0001
